date,code,open,high,low,close,volume,amount,turn,pctChg,adjustflag
2015-03-26,sh.600519,137.1038522000,141.6019636000,136.0058880000,140.6527558400,6710525,1315872112.0000,0.587613,2.998200,2
2015-03-27,sh.600519,140.2560720000,140.6527558400,136.6788338000,137.8122162000,4014459,784086656.0000,0.351529,-2.019500,2
2015-03-30,sh.600519,137.9043035200,140.9290178000,136.7850884000,139.3847842800,6345139,1237889232.0000,0.555617,1.141100,2
2015-03-31,sh.600519,139.3210315200,142.2182402800,137.4367832800,138.8110094400,8813097,1746870224.0000,0.771726,-0.411600,2
2015-04-01,sh.600519,138.8605949200,139.9443918400,137.7626307200,138.3718237600,7687523,1504959696.0000,0.673164,-0.316400,2
2015-04-02,sh.600519,138.8110094400,139.9727264000,136.6292483200,137.8334671200,6298161,1228604480.0000,0.551504,-0.389100,2
2015-04-03,sh.600519,137.4226160000,139.5547916400,136.5584119200,139.4131188400,5121088,996536048.0000,0.448432,1.146100,2
2015-04-07,sh.600519,139.4414534000,142.4378331200,138.6976712000,142.1474038800,5982433,1189027072.0000,0.523857,1.961300,2
2015-04-08,sh.600519,143.4437100000,149.2381275200,142.7990987600,144.8604380000,13585716,2798381808.0000,1.189644,1.908600,2
2015-04-09,sh.600519,144.8462707200,145.8379803200,140.9998542000,141.6728000000,6239973,1255308048.0000,0.546408,-2.200500,2
2015-04-10,sh.600519,141.6657163600,143.7908083600,141.3965380400,141.8286400800,10201946,2048914304.0000,0.893342,0.110000,2
2015-04-13,sh.600519,142.7707642000,144.8533543600,140.9219341600,144.4354196000,9135609,1840018384.0000,0.799967,1.838000,2
2015-04-14,sh.600519,144.5062560000,148.2464179200,144.4779214400,145.9229840000,8190313,1691094336.0000,0.717192,1.029900,2
2015-04-15,sh.600519,148.1189124000,148.6005999200,144.6195942400,145.7104748000,5500520,1135635920.0000,0.481658,-0.145600,2
2015-04-16,sh.600519,147.7293122000,160.2815222800,147.2192901200,160.2815222800,8601417,1877332304.0000,0.753190,10.000000,2
2015-04-17,sh.600519,169.2281596000,176.1701268000,161.7053339200,164.7371318400,19209491,4577504000.0000,1.682095,2.779900,2
2015-04-20,sh.600519,162.9237200000,174.0450348000,162.2153560000,165.7784269200,13058871,3118764544.0000,1.143511,0.632100,2
